Medicinename,Prescription,Typeofsell,Manufacturer,Salt,MRP,Uses,Alternatemedicine,Sideeffects,Howtouse,Chemicalclass,Habitforming,Therapeuticclass,Actionclass
Azax 500 Tablet,Prescription Required,3 tablets in 1 strip,Sun Pharmaceutical Industries Ltd,"Azithromycin (500mg),",₹71.25,"Bacterial infections,","Azibest 500mg Tablet,Trulimax 500mg Tablet,Zady 500 Tablet,Laz 500mg Tablet,Azibact 500 Tablet,","Vomiting,Nausea,Abdominal pain,Diarrhea,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Azax 500 Tablet may be taken with or without food, but it is better to take it at a fixed time.",Macrolides,No,ANTI INFECTIVES,Macrolides
Aldactone Tablet,Prescription Required,15 tablets in 1 strip,RPG Life Sciences Ltd,"Spironolactone (25mg),",₹31.8,"Hypertension (high blood pressure),Edema,Low potassium,Heart failure,","Spirix 25mg Tablet,Genericart Spironolactone 25mg Tablet,","Nausea,Vomiting,Leg cramps,Dizziness,Drowsiness,Confusion,Breast enlargement in male,Increased creatinine level in blood,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Aldactone Tablet is to be taken with food.",Potassium sparing diuretics,No,CARDIAC,Potassium- sparing Diuretics
Axcer  90mg Tablet,Prescription Required,14 tablets in 1 strip,Sun Pharmaceutical Industries Ltd,"Ticagrelor (90mg),",₹420,"Prevention of heart attack and stroke,","Ticagat Tablet,Tikacad 90mg Tablet,Brigrel Tablet,Ticavic 90 Tablet,Xygrel 90 Tablet,","Bleeding,Breathlessness,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Axcer  90mg Tablet may be taken with or without food, but it is better to take it at a fixed time.",Triazolopyrimidines,No,BLOOD RELATED,P2Y12 inhibitors (ADP receptor)
Antiflu 75mg Capsule,Prescription Required,10 capsules in 1 strip,Cipla Ltd,"Oseltamivir Phosphate (75mg),",₹660.66,"Influenza (flu),","Natflu 75mg Capsule,Starflu 75mg Capsule,Olsivir Capsule,Mcosvir 75mg Capsule,Fluvia 75mg Capsule,","Nausea,Vomiting,Abdominal pain,Diarrhea,","Take this medicine in the dose and duration as advised by your doctor. Antiflu 75mg Capsule may be taken with or without food, but it is better to take it at a fixed time.",Gamma amino acids derivatives {Acetamido cyclohexene},No,ANTI INFECTIVES,Neuraminidase Inhibitors
Azicip 500 Tablet,Prescription Required,3 tablets in 1 strip,Cipla Ltd,"Azithromycin (500mg),",₹71.33,"Bacterial infections,","Azibest 500mg Tablet,Trulimax 500mg Tablet,Zady 500 Tablet,Laz 500mg Tablet,Azibact 500 Tablet,","Vomiting,Nausea,Abdominal pain,Diarrhea,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Azicip 500 Tablet may be taken with or without food, but it is better to take it at a fixed time.",Macrolides,No,ANTI INFECTIVES,Macrolides
Benadryl Syrup,Prescription Required,150 ml in 1 bottle,Johnson & Johnson Ltd,"Diphenhydramine (14.08mg/5ml) + Ammonium Chloride (138mg/5ml) + Sodium Citrate (57.03mg/5ml),",₹118,"Cough,","Odaril Syrup,Tussberry-N Syrup,New Brethese Syrup,Suntuss CF Syrup,Cofsils Cough Syrup,","Stomach pain/epigastric pain,Dizziness,Sleepiness,Impaired coordination,Thickened respiratory tract secretions,Allergic reaction,","Take this medicine in the dose and duration as advised by your doctor. Check the label for directions before use. Measure it with a measuring cup and take it by mouth. Shake well before use. Benadryl Syrup may be taken with or without food, but it is better to take it at a fixed time.",Not Listed,No,RESPIRATORY,Not Listed
Drotin Injection 2ml,Prescription Required,10 injections in 1 ampoule,Walter Bushnell,"Drotaverine (40mg),",₹258.4,"Pain relief,","Drot 40mg Injection,Rotaspas 40mg Injection,Samspas 40mg Injection,Drovera Injection,Enzodrot 40mg Injection,","Nausea,Vomiting,Dryness in mouth,Vertigo,",Your doctor or nurse will give you this medicine. Kindly do not self administer. ,Papaverine Derivatives,No,GASTRO INTESTINAL,Phosphodiesterase-IV inhibitors (Smooth Muscle Relaxant)
Dolokind Plus Tablet,Prescription Required,10 tablets in 1 strip,Mankind Pharma Ltd,"Aceclofenac (100mg) + Paracetamol (325mg),",₹51.49,"Pain relief,","Topnac P Tablet,Arflur-P Tablet,XREL Tablet,Willgo P Tablet,Anaflam XP 100mg/325mg Tablet,","Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Dolokind Plus Tablet may be taken with or without food, but it is better to take it at a fixed time.",Not Listed,No,PAIN ANALGESICS,Not Listed
Deplatt-CV  Capsule,Prescription Required,10 capsules in 1 strip,Torrent Pharmaceuticals Ltd,"Aspirin (75mg) + Atorvastatin (10mg) + Clopidogrel (75mg),",₹70.9,"Prevention of Heart attack,","Atorlip Gold 10 Capsule,Atorva Gold 10 Capsule,Atormac Gold 10 Capsule,Clavix Gold 10 Capsule,Clopitab-CV Gold 10 Capsule,","Increased bleeding tendency,Abdominal pain,Indigestion,Bruise,Nosebleeds,Gastrointestinal bleeding,Diarrhea,",Take this medicine in the dose and duration as advised by your doctor. Deplatt-CV  Capsule is to be taken with food.,Not Listed,No,BLOOD RELATED,Not Listed
Dizitac Tablet,Prescription Required,10 tablets in 1 strip,Sun Pharmaceutical Industries Ltd,"Cinnarizine (20mg) + Dimenhydrinate (40mg),",₹104,"Vertigo,","Vertigon D 20mg/40mg Tablet,Cinzan Plus Tablet,Diziliv 20 mg/40 mg Tablet,Vomivert 20 mg/40 mg Tablet,Vertigen Tablet,","Drowsiness,Headache,Stomach pain,Dryness in mouth,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Dizitac Tablet is to be taken with food.",Not Listed,No,NEURO CNS,Not Listed
